ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-hcad	EPOCH	Epoch	Nanoseconds since J2000	Start of acquisition interval. Variable cadence: 5 s in far mode, 1 s in close mode	support_data		nanoseconds				1 second, 5 seconds											Time										9999-12-31T23:59:59.999999999	2020-06-15T00:00:00.000000000	2020-06-14T00:00:00.000000000	linear		2050-01-01T00:00:00.000000000	2000-01-01T00:00:00.000000000			DELTA_EPOCH	
ASTRO	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-hcad	DELTA_EPOCH	Delta epoch	Accumulation period in seconds		support_data		s										EPOCH				I	Delta epoch										4294967295										
ASTRO	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Flux	Ion Flux	Particle flux in magnet channel	Detector response can be different for different ion species. The calibrated intensity has been obtained using the response for Hydrogen.	data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Flux										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0		Ion_Uncertainty	Ion_Uncertainty	
ASTRO	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Uncertainty	Ion Flux Uncertainty	Uncertainty in ion flux		support_data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Flux Sigma										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Rate	Ion Count Rate	Particle count rate in magnet channel		support_data		counts / s										EPOCH	Ion_Bins_Low_Energy		time_series	G10.4	Ion Count Rate										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
ASTRO	CDF_REAL4	1	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Low_Energy	Ion Bins Low Energy	Lowest energy of each bin for ion flux		support_data		MeV			1.602e-13&gt;J											G10.4		Ion_Bins_Text												log						Ion_Bins_Width	
ASTRO	CDF_REAL4	1	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Width	Ion Bins Width	Width of each energy bin for ion flux		support_data		MeV			1.602e-13&gt;J											G10.4																					
ASTRO	CDF_CHAR	25	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Text	Ion Bins Text	Text description of each energy bin for ion flux		metadata																A25																					
ASTRO	CDF_REAL4	1	1:[17]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Flux	Electron Flux	Particle flux in foil channel	Ions with energies around 500 keV can penetrate the foil and give a signal in the electron channel. In the presence of high ion flux, there could be a considerable contamination from ions in this product.	data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Electron_Bins_Low_Energy		time_series	G10.4	Electron Flux										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0		Electron_Uncertainty	Electron_Uncertainty	
ASTRO	CDF_REAL4	1	1:[17]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Uncertainty	Electron Flux Uncertainty	Uncertainty in electron flux		support_data		particles / (s cm^2 sr MeV)			6.2415e16&gt;particles/(s m^2 sr J)							EPOCH	Electron_Bins_Low_Energy		time_series	G10.4	Electron Flux Sigma										-1.0e+31	1.0e+08	0.01	log		1.0e+20	0.0				
