									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/Albert.Boggess	Albert Boggess	Albert	Albert	Boggess	A. Boggess	GSFC-Code 900			N_N
SMWG/Person/Albert.E.Metzger	Albert E. Metzger	Albert	Albert, E.	Metzger	A.E. Metzger	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Albert.J.Fleig.Jr	Albert J. Fleig, Jr.	Albert	Albert, J.	Fleig, Jr.	A.J. Fleig, Jr.	GSFC-Code 920.2			N_I_N
SMWG/Person/Albert.S.Yen	Albert S. Yen	Albert	Albert, S.	Yen	A.S. Yen	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Albert.T.Ichiki	Albert T. Ichiki	Albert	Albert, T.	Ichiki	A.T. Ichiki	University of Tennessee, Knoxville			N_I_N
SMWG/Person/Alberto.Egidi	Alberto Egidi	Alberto	Alberto	Egidi	A. Egidi	Universita di Roma Tor Vergata			N_N
SMWG/Person/Alberto.M.Bonetti	Alberto M. Bonetti	Alberto	Alberto, M.	Bonetti	A.M. Bonetti	Florence University			N_I_N
SMWG/Person/Alberto.Passerone	Alberto Passerone	Alberto	Alberto	Passerone	A. Passerone	Consiglio Nazionale delle Ricerche			N_N
SMWG/Person/Alberto.Umbarilla.Madero	Alberto Umbarilla Madero	Alberto	Alberto, Umbarilla	Madero	A.U. Madero	Instituto Geografico Agustin Codazzi, Bogota, Colombia			N_N_N
SMWG/Person/Alden.A.Loomis	Alden A. Loomis	Alden	Alden, A.	Loomis	A.A. Loomis	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Aldo.V.Darosa	Aldo V. Darosa	Aldo	Aldo, V.	Darosa	A.V. Darosa	Stanford University			N_I_N
SMWG/Person/Aleksandr.Y.Ukhorskiy	Aleksandr Y. Ukhorskiy	Aleksandr	Aleksandr, Y.	Ukhorskiy	A.Y. Ukhorskiy	JHU/APL			N_I_N
SMWG/Person/Alex.E.S.Green	Alex E. S. Green	Alex	Alex, E. S.	Green	A.E.S. Green	University of Florida			N_I_I_N
SMWG/Person/Alexander.A.Boyarchuk	Alexander A. Boyarchuk	Alexander	Alexander, A.	Boyarchuk	A.A. Boyarchuk	Academy of Sciences			N_I_N
SMWG/Person/Alexander.A.Ruzmaikin	Alexander A. Ruzmaikin	Alexander	Alexander, A.	Ruzmaikin	A.A. Ruzmaikin	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Alexander.Dalgarno	Alexander Dalgarno	Alexander	Alexander	Dalgarno	A. Dalgarno	Center for Astrophysics			N_N
SMWG/Person/Alexander.Dunaev	Alexander Dunaev	Alexander	Alexander	Dunaev	A. Dunaev	Russian Space Agency			N_N
SMWG/Person/Alexander.F.H.Goetz	Alexander F. H. Goetz	Alexander	Alexander, F. H.	Goetz	A.F.H. Goetz	University of Colorado			N_I_I_N
SMWG/Person/Alexander.McPherson.Jr	Alexander McPherson, Jr.	Alexander	Alexander	McPherson, Jr.	A. McPherson, Jr.	University of California, Irvine			N_N
SMWG/Person/Alexander.Rich	Alexander Rich	Alexander	Alexander	Rich	A. Rich	Massachusetts Institute of Technology			N_N
SMWG/Person/Alexander.S.Gurvich	Alexander S. Gurvich	Alexander	Alexander, S.	Gurvich	A.S. Gurvich	Russian Academy of Sciences			N_I_N
SMWG/Person/Alexander.S.Konopliv	Alexander S. Konopliv	Alexander	Alexander, S.	Konopliv	A.S. Konopliv	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Alexander.S.Potapov	Alexander S. Potapov	Alexander	Alexander, S.	Potapov	A.S. Potapov	Institute of Solar-Terrestrial Physics, Irkutsk, Russia			N_I_N
SMWG/Person/Alexander.T.Basilevsky	Alexander T. Basilevsky	Alexander	Alexander, T.	Basilevsky	A.T. Basilevsky	Vernadsky Institute of Geochemistry			N_I_N
SMWG/Person/Alexander.Tschopp	Alexander Tschopp	Alexander	Alexander	Tschopp	A. Tschopp	Laboratorium fur Biochemie			N_N
SMWG/Person/Alexander.V.Zakharov	Alexander V. Zakharov	Alexander	Alexander, V.	Zakharov	A.V. Zakharov	Russian Academy of Sciences			N_I_N
SMWG/Person/Alexander.Ya.Feldstein	Alexander Ya. Feldstein	Alexander	Alexander, Ya.	Feldstein	A.Ya. Feldstein	WDC-B2 for Solar Terrestrial Physics			N_IR_N
SMWG/Person/Alexander.Z.Bochev	Alexander Z. Bochev	Alexander	Alexander, Z.	Bochev	A.Z. Bochev	Bulgarian Academy of Sciences			N_I_N
SMWG/Person/Alexandre.Le.Gall	Alexandre Le Gall	Alexandre	Alexandre, Le	Gall	A.L. Gall	USN, Observatoire de Paris, PSL, CNRS, Université d&apos;Orléans			N_N_N
SMWG/Person/Alexandre.Potapov	Alexandre Potapov	Alexandre	Alexandre	Potapov	A. Potapov	Institute of Solar-Terrestrial Physics			N_N
SMWG/Person/Alexandre.S.Kaplansky	Alexandre S. Kaplansky	Alexandre	Alexandre, S.	Kaplansky	A.S. Kaplansky	Institute of Biomedical Problems			N_I_N
SMWG/Person/Alexandre.Skalsky	Alexandre Skalsky	Alexandre	Alexandre	Skalsky	A. Skalsky	Russian Academy of Sciences			N_N
SMWG/Person/Alexandre.Sursock	Alexandre Sursock	Alexandre	Alexandre	Sursock	A. Sursock	National Center for Geophysical Research-CNRS			N_N
SMWG/Person/Alexei.M.Alpatov	Alexei M. Alpatov	Alexei	Alexei, M.	Alpatov	A.M. Alpatov	Institute of Biomedical Problems			N_I_N
SMWG/Person/Alexei.Pevtsov	Alexei Pevtsov	Alexei	Alexei	Pevtsov	A. Pevtsov	National Solar Observatory (NSO)			N_N
SMWG/Person/Alfons.Eckstaller	Alfons Eckstaller	Alfons	Alfons	Eckstaller	A. Eckstaller	::UNKNOWN::			N_N
SMWG/Person/Alfred.G.Beswick	Alfred G. Beswick	Alfred	Alfred, G.	Beswick	A.G. Beswick	NASA Langley Research Center			N_I_N
SMWG/Person/Alfred.H.Merrill.Jr	Alfred H. Merrill, Jr.	Alfred	Alfred, H.	Merrill, Jr.	A.H. Merrill, Jr.	Emory University			N_I_N
SMWG/Person/Alfred.L.Vampola	Alfred L. Vampola	Alfred	Alfred, L.	Vampola	A.L. Vampola	Aerospace Corporation		CRRES	N_I_N
SMWG/Person/Alfred.O.C.Nier	Alfred O. C. Nier	Alfred	Alfred, O. C.	Nier	A.O.C. Nier	Deceased - formerly at University of Minnesota			N_I_I_N
SMWG/Person/Alfred.S.McEwen	Alfred S. McEwen	Alfred	Alfred, S.	McEwen	A.S. McEwen	University of Arizona			N_I_N
SMWG/Person/Alfred.S.Yue	Alfred S. Yue	Alfred	Alfred, S.	Yue	A.S. Yue	University of California, Los Angeles			N_I_N
SMWG/Person/Alfred.T.C.Chang	Alfred T. C. Chang	Alfred	Alfred, T. C.	Chang	A.T.C. Chang	GSFC-Code 974			N_I_I_N
SMWG/Person/Alfred.Vidal-Madjar	Alfred Vidal-Madjar	Alfred	Alfred	Vidal-Madjar	A. Vidal-Madjar	Institut d&apos;Astrophysique			N_N
SMWG/Person/Alfred.de.Wijn	Alfred de Wijn	Alfred	Alfred, de	Wijn	A.d. Wijn	National Center for Atmospheric Research			N_N_N
SMWG/Person/Alicja.Czyszek	Alicja Czyszek	Alicja	Alicja	Czyszek	A. Czyszek	Geophysical Observatory			N_N
SMWG/Person/Alison.Hopfield	Alison Hopfield	Alison	Alison	Hopfield	A. Hopfield	Unknown - formerly at Princeton Day School, NJ			N_N
SMWG/Person/Allan.H.Brown	Allan H. Brown	Allan	Allan, H.	Brown	A.H. Brown	University City Science Center			N_I_N
SMWG/Person/Allan.J.Runkle	Allan J. Runkle	Allan	Allan, J.	Runkle	A.J. Runkle	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Allan.T.Weatherwax	Allan T. Weatherwax	Allan	Allan, T.	Weatherwax	A.T. Weatherwax	Institute for Physical Science and Technology			N_I_N
SMWG/Person/Allen.E.Wolfe	Allen E. Wolfe	Allen	Allen, E.	Wolfe	A.E. Wolfe	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Allen.G.McNamara	Allen G. McNamara	Allen	Allen, G.	McNamara	A.G. McNamara	National Research Council of Canada			N_I_N
SMWG/Person/Allen.Joel.Anderson	Allen Joel Anderson	Allen	Allen, Joel	Anderson	A.J. Anderson	Unknown - formerly at NASA Headquarters			N_N_N
SMWG/Person/Allen.L.Frank	Allen L. Frank	Allen	Allen, L.	Frank	A.L. Frank	University of San Francisco			N_I_N
SMWG/Person/Allen.L.Franta	Allen L. Franta	Allen	Allen, L.	Franta	A.L. Franta	GSFC-Code 517.7			N_I_N
SMWG/Person/Allen.S.Krieger	Allen S. Krieger	Allen	Allen, S.	Krieger	A.S. Krieger	Radiation Science, Incorporated			N_I_N
SMWG/Person/Althea.R.Washington	Althea R. Washington	Althea	Althea, R.	Washington	A.R. Washington	NASA Headquarters			N_I_N
SMWG/Person/Alton.P.Mayo	Alton P. Mayo	Alton	Alton, P.	Mayo	A.P. Mayo	Unknown - formerly at NASA Langley Research Cent			N_I_N
